Country Name,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Albania,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Algeria,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
American Samoa,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 12,735"
Andorra,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Angola,"> 12,735","> 12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Antigua and Barbuda,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Argentina,"> 12,735","> 12,475","> 12,235","> 12,735","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Armenia,"4,126-12,735","4,036-12,475","3,956-12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Aruba,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Australia,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Austria,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Azerbaijan,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
"Bahamas, The","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Bahrain,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Bangladesh,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Barbados,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Belarus,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Belgium,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Belize,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","4,096 - 12,695","> 13,205","> 13,845"
Benin,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Bermuda,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Bhutan,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Bolivia,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Bosnia and Herzegovina,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Botswana,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Brazil,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
British Virgin Islands,..,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Brunei Darussalam,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Bulgaria,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Burkina Faso,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Burundi,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Cabo Verde,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Cambodia,"1,046-4,125","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Cameroon,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Canada,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Cayman Islands,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Central African Republic,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Chad,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Channel Islands,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Chile,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
China,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Colombia,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Comoros,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
"Congo, Dem. Rep.","1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
"Congo, Rep.","4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Costa Rica,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Côte d'Ivoire,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Croatia,"> 12,735","> 12,735","> 12,235","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Cuba,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Curaçao,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Cyprus,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Czechia,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Denmark,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Djibouti,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Dominica,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Dominican Republic,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Ecuador,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
"Egypt, Arab Rep.","4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
El Salvador,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","> 13,845"
Equatorial Guinea,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Eritrea,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Estonia,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Eswatini,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Ethiopia,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Faeroe Islands,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Fiji,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Finland,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
France,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
French Polynesia,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Gabon,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
"Gambia, The","1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Georgia,"4,126-12,735","> 12,475","3,956-12,235","3,896-12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Germany,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Ghana,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Gibraltar,..,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Greece,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Greenland,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Grenada,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Guam,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Guatemala,"4,126-12,735","4,036-12,475","3,956-12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Guinea,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","4,466 - 13,845"
Guinea-Bissau,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Guyana,"4,126-12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 12,735"
Haiti,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Honduras,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
"Hong Kong SAR, China","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Hungary,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Iceland,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
India,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Indonesia,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","> 12,535","4,096 - 12,695","4,256 - 13,205","> 13,845"
"Iran, Islamic Rep.","> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Iraq,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Ireland,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Isle of Man,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Israel,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Italy,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Jamaica,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Japan,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Jordan,"> 12,735","> 12,475","3,956-12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","4,466 - 13,845"
Kazakhstan,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Kenya,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Kiribati,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
"Korea, Dem. Rep.","1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
"Korea, Rep.","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Kosovo,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Kuwait,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Kyrgyz Republic,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Lao PDR,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Latvia,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
