Country Name,Continental region,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2022,consumption_price_2014,consumption_price_2015,consumption_price_2016,consumption_price_2017,consumption_price_2018,consumption_price_2019,consumption_price_2022
Algeria,NORTHERN AFRICA,213810000000.0,165979000000.0,160034000000.0,170097000000.0,174911000000.0,171760000000.0,191913000000.0,1255473000.0,1376595000.0,1593000000.0,1490684000.0,1297274000.0,1329216000.0,2665089261.051438
Argentina,SOUTH AMERICA,526320000000.0,594749000000.0,557532000000.0,643628000000.0,524820000000.0,447755000000.0,632770000000.0,11866842000.0,9038540000.000002,11332728000.0,13674106000.0,19955320000.0,13566852000.0,3981216000.0
Australia,OCEANIA,1467590000000.0,1350580000000.0,1206560000000.0,1326470000000.0,1428270000000.0,1392220000000.0,1675420000000.0,49556616000.0,48632998000.0,44673710000.0,39876071672.0,54412836555.0,48745693104.0,57972189598.66754
Azerbaijan,CIS (FORMER USSR),75239737489.0,53076244755.0,37867007023.0,40866632048.0,47112479289.0,48174235294.0,78721058824.0,1513464000.0,1563563200.0,1218957700.0,1219213100.0,1123426800.0,1039147200.0,1089050830.348028
Belgium,WESTERN EUROPE,535390000000.0,462336000000.0,476063000000.0,502765000000.0,543299000000.0,535866000000.0,578604000000.0,16113532500.0,15946867200.0,14125222799.999992,13985431699.999992,13341741200.0,13947505999.999992,40939753200.0
Brazil,SOUTH AMERICA,2456040000000.0,1802210000000.0,1795690000000.0,2063510000000.0,1916930000000.0,1873290000000.0,1920100000000.0,64756178999.99999,81035236000.0,93521428000.00002,80125429999.99998,86484703000.0,94152450000.0,100742688937.66
Canada,NORTHERN AMERICA,1805750000000.0,1556510000000.0,1527990000000.0,1649270000000.0,1725300000000.0,1743730000000.0,2139840000000.0,67462485000.00001,65766203999.99999,80070365000.0,76100072000.0,72568125000.0,67868940000.0,67268192810.33819
Chile,SOUTH AMERICA,259405000000.0,242497000000.0,249299000000.0,276365000000.0,295403000000.0,278493000000.0,301025000000.0,6647928000.0,6832346999.999993,7437150000.0,6964678512.0,7150456946.999993,7634007521.999999,15793092880.904243
China,ASIA (EX. NEAR EAST),10475600000000.0,11061600000000.0,11233300000000.0,12310500000000.0,13894900000000.0,14280000000000.0,17963200000000.0,719916626000.0,733507063000.0,761145527999.9999,887376397600.0,970644255000.0,961164282000.0,612424760221.3337
Colombia,SOUTH AMERICA,381241000000.0,293492000000.0,282720000000.0,311867000000.0,334198000000.0,323032000000.0,343939000000.0,9647578675.117723,9781189862.66093,10291093453.58865,10115151372.748798,9389891884.709291,15011121352.943983,14250087925.085129
Denmark,WESTERN EUROPE,352994000000.0,302673000000.0,313116000000.0,332121000000.0,356841000000.0,346499000000.0,395404000000.0,4657247532.0,4646912149.999999,7255820924.999999,6972885264.0,6539304366.0,7892130862.0,19399305255.0
France,WESTERN EUROPE,2855960000000.0,2439190000000.0,2472960000000.0,2595150000000.0,2790960000000.0,2728870000000.0,2782910000000.0,61561625507.99999,63353030883.99999,65440669779.99999,60860676736.00001,57959025410.0,59915714736.00001,92799240838.0
Germany,WESTERN EUROPE,3889090000000.0,3357590000000.0,3469850000000.0,3690850000000.0,3974440000000.0,3888230000000.0,4072190000000.0,153249192000.0,150579750000.0,141126566000.00003,179585483999.99994,168022498000.0,129931008000.0,272557367000.00003
India,ASIA (EX. NEAR EAST),2039130000000.0,2103590000000.0,2294800000000.0,2651470000000.0,2702930000000.0,2835610000000.0,3385090000000.0,218907282999.9999,227562280000.0,220669878000.0,199810062222.2144,197878300000.0,236079116000.0,97552477710.7688
Indonesia,ASIA (EX. NEAR EAST),890815000000.0,860854000000.0,931877000000.0,1015620000000.0,1042270000000.0,1119100000000.0,1319100000000.0,28166410000.0,29149078999.999977,23951691000.0,27399343999.999977,26942172000.0,28132028000.0,26370498747.11904
Italy,WESTERN EUROPE,2162010000000.0,1836640000000.0,1877070000000.0,1961800000000.0,2091930000000.0,2011300000000.0,2010430000000.0,74226675000.0,70728840000.0,63829944000.0,60979864029.99997,58564493210.0,50702998920.0,171299109336.0
Japan,ASIA (EX. NEAR EAST),4896990000000.0,4444930000000.0,5003680000000.0,4930840000000.0,5040880000000.0,5117990000000.0,4231140000000.0,287704134000.0,249846940000.0,218316678000.0,212700403664.0,178757971518.0,199732950084.0,228808725147.03076
Kazakhstan,CIS (FORMER USSR),221416000000.0,184388000000.0,137278000000.0,166806000000.0,179340000000.0,181667000000.0,220623000000.0,7547470000.0,7170345000.0,7841965292.0,5324980200.0,4765901550.0,3549142432.0,4269739500.0
Kuwait,NEAR EAST,162650000000.0,114586000000.0,109406000000.0,120688000000.0,138202000000.0,136192000000.0,184558000000.0,362256364.6799948,380318389.3599946,445500000.04,415988999.9999941,471268800.0,420524999.9999941,1954107000.0
Malaysia,ASIA (EX. NEAR EAST),338066000000.0,301355000000.0,301255000000.0,319109000000.0,358789000000.0,365178000000.0,406306000000.0,21559944000.0,20358646000.000004,20595432000.0,18901080000.0,17732455999.999985,19045111680.0,7903957405.28256
Mexico,CENTRAL AMERICA,1315360000000.0,1171870000000.0,1078490000000.0,1158910000000.0,1222410000000.0,1269010000000.0,1414190000000.0,42368535000.0,35873449999.99998,18646280000.0,19585989000.0,34946315000.0,46887555000.0,32391952638.44904
Netherlands,Western Europe,892168000000.0,765573000000.0,784060000000.0,833870000000.0,914043000000.0,910194000000.0,991115000000.0,12874954200.0,12808103255.999989,12829724583.999989,12047891724.0,12053299008.0,16325484623.999998,53445154091.0
New Zealand,OCEANIA,201313000000.0,178064000000.0,188838000000.0,206556000000.0,211887000000.0,213092000000.0,247234000000.0,5552568000.0,5826820999.999999,5310624000.0,4871865406.0,4596267100.0,4838263560.0,7464125146.091051
Nigeria,SUB-SAHARAN AFRICA,574184000000.0,493027000000.0,404649000000.0,375746000000.0,421739000000.0,474517000000.0,477386000000.0,3890750000.0,6481734000.0,5144394000.0,4396072968.0,3644588928.000001,3261033279.0,807853941.12
Norway,WESTERN EUROPE,501736000000.0,388160000000.0,370957000000.0,401745000000.0,439789000000.0,408743000000.0,579267000000.0,11354809135.999989,15487198974.0,13962100330.0,12615619624.999989,12765832800.0,12739992337.999989,16169740554.0
Poland,EASTERN EUROPE,539081000000.0,477111000000.0,470025000000.0,524641000000.0,588780000000.0,596058000000.0,688177000000.0,19492044000.0,21116904000.0,21708213000.0,20645990424.0,19984656912.0,20824317291.999985,30035815842.0
Portugal,WESTERN EUROPE,229902000000.0,199394000000.0,206426000000.0,221358000000.0,242313000000.0,239987000000.0,251945000000.0,12780502999.999996,13867304000.0,8666755926.0,8292942311.999999,12322045260.0,10835930556.0,14593718440.0
Romania,EASTERN EUROPE,199714000000.0,177884000000.0,185288000000.0,210147000000.0,243316000000.0,251018000000.0,301262000000.0,4168528000.0,4071426000.0,4007070000.000001,3908856720.0,2936880052.0,4564955636.0,7991679872.0
Saudi Arabia,NEAR EAST,766606000000.0,669484000000.0,666000000000.0,714995000000.0,846584000000.0,838565000000.0,1108150000000.0,17311702000.0,18984105000.0,27561150000.0,28099586450.000004,23756002480.0,22319360594.0,15401060505.2784
Singapore,ASIA (EX. NEAR EAST),314864000000.0,307999000000.0,319030000000.0,343273000000.0,376870000000.0,376837000000.0,466789000000.0,7795687200.000001,5369059400.0,3938463000.0,4963770000.0,5147011800.0,2845161000.0,13062582400.0
South Africa,SUB-SAHARAN AFRICA,381199000000.0,346710000000.0,323586000000.0,381449000000.0,404159000000.0,388531000000.0,405870000000.0,20548836000.0,19156605000.0,33785752000.0,32966471000.0,32670852000.0,32702084940.0,30595497286.41324
Spain,WESTERN EUROPE,1371820000000.0,1196160000000.0,1233550000000.0,1313250000000.0,1421700000000.0,1394320000000.0,1397510000000.0,53893686000.0,59874795000.0,38131539000.0,47089522000.0,60950712000.0,62962900000.0,86015237000.0
Sweden,WESTERN EUROPE,581964000000.0,505104000000.0,515655000000.0,541019000000.0,555455000000.0,533880000000.0,585939000000.0,17377764999.99999,17193575000.0,15846839999.999998,14520329999.999998,13449618000.0,13373776000.0,44171988000.0
Thailand,ASIA (EX. NEAR EAST),407339000000.0,401296000000.0,413366000000.0,456357000000.0,506754000000.0,543977000000.0,495341000000.0,28862748000.000004,29066850999.99998,27744000000.0,23356493874.0,23694048000.0,26465111862.99998,24965994954.371788
United Arab Emirates,NEAR EAST,414105000000.0,370275000000.0,369255000000.0,390517000000.0,427049000000.0,417990000000.0,507535000000.0,10313238200.0,12746810699.999989,13498714400.0,14081691900.0,12802845000.0,13073536300.0,10633855263.65216
United Kingdom,WESTERN EUROPE,3065220000000.0,2934860000000.0,2699660000000.0,2683490000000.0,2878150000000.0,2857060000000.0,3070670000000.0,46445550000.0,48256416000.0,47963665000.0,49120935458.0,52670284963.99999,53542847628.0,117015928743.9677
United States,NORTHERN AMERICA,17550700000000.0,18206000000000.0,18695100000000.0,19477300000000.0,20533100000000.0,21381000000000.0,25462700000000.0,592072832000.0,595990845000.0,643209803999.9996,645234708948.0,691325642052.0,717569556166.0,738996985372.2839
Uzbekistan,CIS (FORMER USSR),80845385816.0,86196264742.0,86138288633.0,62081322741.0,52870108218.0,60283503705.0,80391853885.0,3265504000.0,3225829000.0,3441535500.0,3763099600.000001,3346527364.8,3091026016.0,1648283707.9610715
Vietnam,ASIA (EX. NEAR EAST),233451000000.0,239258000000.0,257096000000.0,281354000000.0,310106000000.0,334365000000.0,408802000000.0,15435240000.000002,16667227999.999985,18535755999.999985,20958360000.0,23702223000.0,25881111111.111248,19255854117.548
