Country Name,Continental region,consumption_price_2014,consumption_price_2015,consumption_price_2016,consumption_price_2017,consumption_price_2018,consumption_price_2019,consumption_price_2022,consumption_price_2023
Belgium,WESTERN EUROPE,1342.7943750000002,1328.9056,1177.1018999999992,1165.4526416666658,1111.811766666667,1162.292166666666,3411.6461000000004,2711.5427743419755
Denmark,WESTERN EUROPE,388.10396099999997,387.2426791666666,604.6517437499999,581.0737720000001,544.9420305,657.6775718333332,1616.60877125,1498.7586075528127
France,WESTERN EUROPE,5130.135459,5279.419240333334,5453.389148333333,5071.723061333334,4829.918784166667,4992.976228,7733.270069833333,7328.777543567645
Germany,WESTERN EUROPE,12770.765999999998,12548.3125,11760.547166666669,14965.456999999995,14001.874833333333,10827.584,22713.11391666667,20088.292330563312
Italy,WESTERN EUROPE,6185.556250000001,5894.07,5319.161999999999,5081.655335833331,4880.374434166667,4225.24991,14274.925777999999,10982.90870634882
Netherlands,Western Europe,1072.91285,1067.341937999999,1069.1437153333322,1003.9909769999999,1004.441584,1360.457052,4453.762840916667,3105.3888375955853
Poland,EASTERN EUROPE,1624.3369999999998,1759.742,1809.01775,1720.499202,1665.3880760000004,1735.3597743333323,2502.9846535,2221.919758603325
Portugal,WESTERN EUROPE,1065.0419166666663,1155.6086666666667,722.2296605,691.0785259999999,1026.8371049999998,902.994213,1216.1432033333333,1114.4636434888826
Romania,EASTERN EUROPE,347.37733333333335,339.2855,333.9225,325.73806,244.7400043333333,380.4129696666667,665.9733226666666,621.5606718843118
Spain,WESTERN EUROPE,4491.1405,4989.56625,3177.6282499999998,3924.1268333333333,5079.226,5246.908333333334,7167.936416666666,6909.31103157443
Sweden,WESTERN EUROPE,1448.1470833333324,1432.7979166666667,1320.57,1210.0275,1120.8014999999998,1114.4813333333334,3680.999,3008.479782298337
United Kingdom,WESTERN EUROPE,3870.4624999999996,4021.368,3996.9720833333336,4093.4112881666665,4389.190413666666,4461.903969,9751.327395330642,10547.652164265439
Norway,WESTERN EUROPE,946.2340946666658,1290.5999145,1163.5083608333332,1051.3016354166655,1063.8194,1061.6660281666657,1347.4783794999998,1410.8116130102326
Azerbaijan,CIS (FORMER USSR),126.122,130.29693333333333,101.57980833333333,101.60109166666668,93.6189,86.5956,90.75423586233568,90.96968327817238
Kazakhstan,CIS (FORMER USSR),628.9558333333333,597.5287500000001,653.4971076666667,443.74835,397.15846250000004,295.7618693333333,355.811625,363.3055618183458
Uzbekistan,CIS (FORMER USSR),272.12533333333334,268.81908333333337,286.794625,313.59163333333333,278.8772804000001,257.5855013333333,137.35697566342265,145.01062294201083
Canada,NORTHERN AMERICA,5621.873750000002,5480.517,6672.530416666666,6341.672666666666,6047.34375,5655.745,5605.682734194849,5208.556136229582
United States,NORTHERN AMERICA,49339.40266666666,49665.90375,53600.81699999996,53769.559079000006,57610.470171,59797.46301383333,61583.082114356985,59319.43810715302
Argentina,SOUTH AMERICA,988.9035,753.2116666666669,944.3939999999999,1139.5088333333333,1662.9433333333334,1130.571,331.768,349.2863388218268
Brazil,SOUTH AMERICA,5396.34825,6752.936333333334,7793.4523333333345,6677.119166666666,7207.058583333334,7846.037499999999,8395.224078138332,9761.406928291275
Chile,SOUTH AMERICA,553.994,569.3622499999993,619.7624999999999,580.3898760000001,595.8714122499994,636.1672934999999,1316.0910734086872,1177.5958770177067
Colombia,SOUTH AMERICA,803.9648895931438,815.0991552217442,857.5911211323875,842.9292810623998,782.4909903924412,1250.9267794119985,1187.5073270904275,1038.2964700957507
Mexico,CENTRAL AMERICA,3530.7112500000003,2989.4541666666646,1553.8566666666668,1632.16575,2912.192916666667,3907.29625,2699.32938653742,2624.374633675629
China,ASIA (EX. NEAR EAST),59993.05216666666,61125.58858333332,63428.793999999994,73948.03313333333,80887.02125,80097.0235,51035.396685111155,55315.853118878316
India,ASIA (EX. NEAR EAST),18242.273583333324,18963.523333333334,18389.1565,16650.838518517867,16489.858333333334,19673.259666666665,8129.373142564066,8568.945506889793
Indonesia,ASIA (EX. NEAR EAST),2347.200833333333,2429.089916666665,1995.97425,2283.278666666665,2245.181,2344.3356666666664,2197.54156225992,2293.634788676135
Japan,ASIA (EX. NEAR EAST),23975.344499999996,20820.578333333335,18193.056500000002,17725.033638666668,14896.4976265,16644.412507,19067.39376225256,18635.086586502035
Malaysia,ASIA (EX. NEAR EAST),1796.6620000000003,1696.5538333333334,1716.2859999999998,1575.0900000000001,1477.7046666666654,1587.0926399999998,658.6631171068801,701.3810095783737
Singapore,ASIA (EX. NEAR EAST),649.6406000000001,447.4216166666667,328.20525000000004,413.64750000000004,428.91765000000004,237.09675000000001,1088.5485333333331,998.9827925307753
Thailand,ASIA (EX. NEAR EAST),2405.2290000000003,2422.2375833333317,2312.0,1946.3744895,1974.504,2205.425988583331,2080.4995795309824,1996.7474453386715
Vietnam,ASIA (EX. NEAR EAST),1286.2700000000002,1388.9356666666654,1544.646333333332,1746.53,1975.1852499999998,2156.7592592592705,1604.6545097956669,1646.3225867799156
Australia,OCEANIA,4129.718,4052.7498333333333,3722.8091666666664,3323.0059726666664,4534.40304625,4062.141092,4831.015799888962,4395.557324085509
New Zealand,OCEANIA,462.714,485.5684166666667,442.55199999999996,405.9887838333334,383.02225833333335,403.18862999999993,622.0104288409208,614.2441296206382
Algeria,NORTHERN AFRICA,104.62275,114.71625,132.75,124.22366666666666,108.10616666666665,110.76800000000001,222.0907717542865,235.3959114007496
Nigeria,SUB-SAHARAN AFRICA,324.2291666666667,540.1445,428.6995,366.33941400000003,303.71574400000003,271.75277324999996,67.32116176,113.06625962218413
South Africa,SUB-SAHARAN AFRICA,1712.403,1596.38375,2815.479333333333,2747.2059166666663,2722.571,2725.173745,2549.62477386777,2449.519704746312
Kuwait,NEAR EAST,30.18803038999957,31.69319911333288,37.125000003333334,34.665749999999505,39.2724,35.0437499999995,162.84225,168.66943348570143
Saudi Arabia,NEAR EAST,1442.6418333333334,1582.00875,2296.7625,2341.6322041666667,1979.6668733333333,1859.9467161666664,1283.4217087732,1355.3402375580383
United Arab Emirates,NEAR EAST,859.4365166666668,1062.234224999999,1124.8928666666666,1173.474325,1066.90375,1089.4613583333335,886.1546053043468,969.199275211059
